date,open,high,low,close,volume
2017-08-10,700,756,700,755,42
2017-08-11,750.5,758,727,756,19
2017-08-14,755.1,760,755.1,760,18
2017-08-15,761.7,763,758,758.3,44
2017-08-16,756.8,757,755.5,755.6,47
2017-08-17,755.2,756.3,753,753,120
2017-08-18,752.8,752.8,749.6,750.5,216
2017-08-21,752.6,752.6,749,749,61
2017-08-22,749,749,745.5,745.5,145
2017-08-23,745.5,745.5,743,743.4,44
2017-08-24,750,750,743,744.7,25
2017-08-25,745,746.8,744.7,745.7,75
2017-08-28,746.1,754,746.1,751,27
2017-08-29,752.3,768,752.3,754.9,136
2017-08-30,752,760,752,755.4,6
2017-08-31,756,768,756,765.6,15
2017-09-01,762,774,762,774,11
2017-09-05,761.4,777,761.4,776.9,12
2017-09-06,776.9,778.9,772.1,778.8,23
2017-09-07,779,789.9,779,787.5,26
2017-09-08,787.1,795,786,793,57
2017-09-11,792.9,799,783.9,783.9,77
2017-09-12,783.9,785.1,777,785.1,77
2017-09-13,788.9,788.9,785.1,788,33
2017-09-14,783.1,790.7,783.1,790.4,21
2017-09-15,785.8,790.4,785.8,788,23
2017-09-18,792.8,795.6,791.9,794.4,29
2017-09-19,796.4,797.7,794.1,797.7,62
2017-09-20,797.1,797.4,795.6,796.5,59
2017-09-21,797.8,797.8,793,794.9,41
2017-09-22,792.9,795,791.9,793.1,11
2017-09-25,793.1,794,793.1,794,2
2017-09-26,793.7,793.7,792,793,18
2017-09-27,793.1,794.8,792.8,793.1,11
2017-09-28,793.1,795.4,793.1,793.6,11
2017-09-29,794,794,793.7,793.8,10
2017-10-02,794.3,794.3,792.4,792.6,39
2017-10-03,792.5,792.9,787.1,789,16
2017-10-04,785.5,793.3,785.5,793.3,14
2017-10-05,797,797,791.7,793.3,75
2017-10-06,794,797.9,794,797.2,21
2017-10-09,798,799.8,797,799.8,10
2017-10-10,798.6,806,798.6,802,93
2017-10-11,809.8,848,805,848,242
2017-10-12,816.9,823,811.5,819,168
2017-10-13,817.4,820.1,816.5,820,76
2017-10-16,821.9,827.9,820,824.9,83
2017-10-17,823,825.5,821.5,824.2,45
2017-10-18,826.5,827,823.1,823.1,147
2017-10-19,823.1,823.9,821.2,822.5,33
2017-10-20,828,829,826,826,29
2017-10-23,826.4,826.4,820,820,16
2017-10-24,819.5,822.8,819,822.8,10
2017-10-25,834,834,824,826.5,18
2017-10-26,827,831,826.5,827,32
2017-10-27,828.9,832,827.1,832,23
2017-10-30,838.8,854,838.8,839.1,15
2017-10-31,839.5,839.5,834.8,838.6,17
2017-11-01,838,840,838,840,29
2017-11-02,841,843.6,839.3,839.3,41
2017-11-03,839.2,841.6,838.1,841.6,27
2017-11-06,846.9,849.3,846.4,849.2,29
2017-11-07,854.9,857.8,852.1,853,37
2017-11-08,856,871.9,856,871.9,25
2017-11-09,871.9,875,871,873.5,61
2017-11-10,872.8,874.8,868.1,872,50
2017-11-13,875,877,875,877,17
2017-11-14,878,888.5,878,888.5,69
2017-11-15,890,908,888.5,903.4,98
2017-11-16,905.1,931,905.1,931,270
2017-11-17,940,950,922,935.6,453
2017-11-20,944,960,936,960,212
2017-11-21,968,1010,964.2,999.9,300
2017-11-22,995.2,1019,991,1015,314
2017-11-23,1027,1027,981,991,465
2017-11-24,981.6,983,942,942,255
2017-11-27,945,970,940,949.1,285
2017-11-28,953.5,959.9,949.4,957,181
2017-11-29,974,974,960,970,180
2017-11-30,975.1,983.1,975.1,977.1,387
2017-12-01,977,985,977,985,198
2017-12-04,987.2,1018,987.2,1018,151
2017-12-05,1018.6,1021,990,990,405
2017-12-06,985,989,955,973,372
2017-12-07,973.1,990,960,966,213
2017-12-08,965,971.9,962,968.4,144
2017-12-11,959.9,960,938.1,938.2,203
2017-12-12,938.2,949,900,934,459
2017-12-13,938.5,942,923,930.7,231
2017-12-14,925.6,946,925.6,946,61
2017-12-15,957,964.8,947.5,963.2,124
2017-12-18,968,988,968,987.9,218
2017-12-19,991,999,972,975,202
2017-12-20,978.9,986,970.1,984,263
2017-12-21,986,988,976,976,192
2017-12-22,972.2,977.1,970.2,977.1,127
2017-12-25,983,983.1,977.1,983.1,127
2017-12-26,984.2,996,983.3,996,132
2017-12-27,992.5,998,984,990,188
2017-12-28,990.5,997.5,989.1,993.6,111
2017-12-29,996.8,999.4,991.7,995,97
2018-01-02,998,1011,997,1011,193
2018-01-03,1012.5,1024.9,1012.5,1023.4,117
2018-01-04,1024.2,1030,1023.9,1029,239
2018-01-05,1032.3,1032.7,1015,1023,173
2018-01-08,1016.5,1039.9,1016.5,1039.9,256
2018-01-09,1045.9,1055.9,1036.1,1055.9,231
2018-01-10,1057,1064.8,1050,1057.9,222
2018-01-11,1057.7,1065,1052,1065,226
2018-01-12,1065,1072.9,1064.1,1069.7,205
2018-01-15,1068,1083,1068,1083,223
2018-01-16,1084.1,1086,1078.7,1082.9,300
2018-01-17,1083,1086.9,1069.9,1069.9,239
2018-01-18,1060.3,1070,1045.1,1070,555
2018-01-19,1076.1,1088.9,1076.1,1080,221
2018-01-22,1085.7,1125,1080,1125,333
2018-01-23,1123,1135,1118,1133.5,294
2018-01-24,1134.2,1137.7,1125,1133.1,179
2018-01-25,1136.1,1148.9,1135.6,1142.3,397
2018-01-26,1145.6,1148,1136,1136,159
2018-01-29,1135,1142,1125.4,1125.4,295
2018-01-30,1115.2,1129,1115.2,1126.2,172
2018-01-31,1128.6,1132.9,1123.2,1125,174
2018-02-01,1125,1126,1117,1120,272
2018-02-02,1126.9,1126.9,1115.1,1124.9,372
2018-02-05,1123,1123,1093,1093,325
2018-02-06,1036,1050,1020,1033,474
2018-02-07,1062,1074,1050,1058.2,238
2018-02-08,1051.7,1056,1039.9,1039.9,85
2018-02-09,981,1035,981,1035,307
2018-02-12,1049.9,1059.5,1040,1059,281
2018-02-13,1065.1,1088,1065,1085,378
2018-02-21,1099.9,1106.8,1097,1102,326
2018-02-22,1090,1103.4,1080,1080,265
2018-02-23,1092.1,1120,1090,1120,491
2018-02-26,1136.6,1145,1117.2,1120,284
2018-02-27,1131,1140,1107,1125.8,301
2018-02-28,1118.9,1125,1115,1122.9,112
2018-03-01,1117,1129,1115.1,1124,121
2018-03-02,1108,1124,1108,1124,134
2018-03-05,1134,1134,1092,1092,181
2018-03-06,1105,1124,1102.2,1124,240
2018-03-07,1124.1,1128,1095,1107,158
2018-03-08,1112,1122,1100,1119.1,230
2018-03-09,1125,1133,1117,1119,129
2018-03-12,1130,1133.9,1122,1129.6,114
2018-03-13,1127,1136,1123,1136,117
2018-03-14,1136,1138.5,1131.2,1136.7,64
2018-03-15,1133,1140,1132,1136.7,89
2018-03-16,1136.7,1138.7,1135.5,1138.6,89
2018-03-19,1140.1,1150,1140.1,1144.4,136
2018-03-20,1139.9,1147.8,1139,1146.3,65
2018-03-21,1147.1,1153,1147.1,1153,104
2018-03-22,1160,1160,1154.4,1154.4,122
2018-03-23,1140,1141.6,1133,1138.9,119
2018-03-26,1138.9,1160,1137.9,1160,108
2018-03-27,1170,1170,1160,1160.1,120
2018-03-28,1159.7,1161,1155,1160.6,61
2018-03-29,1163.9,1164,1155.3,1156.4,45
2018-03-30,1156.7,1159.8,1153.5,1159.8,64
2018-04-02,1160.1,1174.9,1160.1,1171,102
2018-04-03,1172,1175.7,1168,1175,184
2018-04-04,1180,1183,1178.3,1178.8,66
2018-04-05,1182,1183.9,1178.8,1183,82
2018-04-06,1189,1189,1183.2,1185,32
2018-04-09,1185,1190,1183,1190,52
2018-04-10,1191.2,1192,1184.9,1186,101
2018-04-11,1189.9,1189.9,1155.6,1155.6,137
2018-04-12,1154.9,1156,1143.1,1156,169
2018-04-13,1157.8,1162,1141,1141,118
2018-04-16,1140.5,1141,1130,1135.8,158
2018-04-17,1136.1,1139.8,1131,1139,179
2018-04-18,1141.6,1142.8,1123,1123,188
2018-04-19,1124,1124,1091,1094,443
2018-04-20,1117,1136,1101,1136,355
2018-04-23,1137,1137,1081,1081,282
2018-04-24,1075.9,1090,1063,1079.9,260
2018-04-26,1079,1080,1044,1044,207
2018-04-27,1042,1065,1040.1,1053,127
2018-05-02,1055,1058.8,1025.1,1029.1,237
2018-05-03,1024,1045,1015.2,1045,254
2018-05-04,1048,1050,1030,1044,121
2018-05-07,1044.9,1088,1044,1080.1,69
2018-05-08,1080.1,1087.9,1074,1083,150
2018-05-09,1077.1,1085,1073,1073,150
2018-05-10,1073.3,1077.3,1038,1038,73
2018-05-11,1037.7,1064,1030,1064,305
2018-05-14,1064,1081.5,1060,1081.5,132
2018-05-15,1085.5,1098.9,1077,1082,111
2018-05-16,1078,1084,1061.9,1062.3,140
2018-05-17,1065,1065,1039.9,1041.6,111
2018-05-18,1050,1059.9,1028.1,1055,206
2018-05-21,1055.7,1062,1022.2,1024.1,174
2018-05-22,1017.9,1035,975,991,188
2018-05-23,992,1012,970.2,1001.9,172
2018-05-24,1005,1005,974,980,70
2018-05-25,989,989,945.5,945.5,145
2018-05-28,942.1,947.9,890.2,905,266
2018-05-29,900,957.9,898,940,313
2018-05-30,940,951,918,928,148
2018-05-31,930,968,924,968,126
2018-06-01,960.9,984,960,979.9,166
2018-06-04,980.9,1004,980.7,1001,159
2018-06-05,1007,1012,996,1005.1,239
2018-06-06,1009.9,1032,1005,1031.8,226
2018-06-07,1035,1041,1027.6,1030,90
2018-06-08,1028.3,1034.7,1018,1033,172
2018-06-11,1025.6,1042.5,1025.6,1035,269
2018-06-12,1028,1029.9,1013.1,1026.3,117
2018-06-13,1024.9,1034.4,1022,1034.4,65
2018-06-14,1035,1035,1022.3,1022.3,71
2018-06-15,1021.4,1024,1014,1022,96
2018-06-18,1024,1024,985.4,985.4,125
2018-06-19,967.4,971.9,921,948.1,330
2018-06-20,956,969,948,965.1,301
2018-06-21,969.6,971,943.2,950,424
2018-06-22,948,972,938.8,970,379
2018-06-25,984.9,988.4,972,972,172
2018-06-26,969.9,969.9,950.4,966,222
2018-06-27,972.9,973.9,950,950,114
2018-06-28,942.2,951.9,928.1,937,171
2018-06-29,942,949.9,925,941.9,215
2018-07-02,935,935,911.5,926.1,178
2018-07-03,923.5,926.1,893.9,893.9,224
2018-07-04,889.5,896,875,894,266
2018-07-05,894.5,894.5,845,862,222
2018-07-06,870,922.1,858,896.9,429
2018-07-09,907.9,918.5,882.2,882.2,193
2018-07-10,888.7,908.9,880,890,156
2018-07-11,879.4,879.4,860,869.7,226
2018-07-12,874,890,870,875,103
2018-07-13,881.1,900,881.1,899,120
2018-07-16,907.2,914.8,899.3,907.6,221
2018-07-17,905.9,918.8,898,918.8,145
2018-07-18,925.5,937,924,937,128
2018-07-19,939.3,943.7,936,940.8,210
2018-07-20,934,945.5,930,945.5,135
2018-07-23,941,947.5,929.9,929.9,208
2018-07-24,933,934.9,917,925.9,146
2018-07-25,928,932.5,913,913,178
2018-07-26,910,917.2,907,917.2,83
2018-07-27,922,926,918.1,924,48
2018-07-30,928,940.8,928,937.2,85
2018-07-31,937.6,943.5,935.5,940.7,52
2018-08-01,940.7,944,932.1,935.5,60
2018-08-02,933,937,922.3,937,98
2018-08-03,940.1,944.3,938,938,59
2018-08-06,938,939,926,932,79
2018-08-07,933.3,936.5,932.1,932.5,69
2018-08-08,933.3,941.5,933.3,941.1,133
2018-08-09,944,949,940.9,940.9,106
2018-08-13,943.9,952,940.5,950.3,52
2018-08-14,953.5,960.6,951,958.5,89
2018-08-15,958.4,959.8,944,945,77
2018-08-16,940.3,950,934.4,945,155
2018-08-17,951.7,953.8,944.3,944.3,108
2018-08-20,946.6,949.8,943.1,944.9,131
2018-08-21,945.8,958,944.1,958,79
2018-08-22,954.5,959.7,953.7,957.7,64
2018-08-23,957,962.5,956.3,959,46
2018-08-24,957.1,962,955.6,958.9,43
2018-08-27,961.8,964.8,961.5,962,38
2018-08-28,940.2,966,940.2,966,28
2018-08-29,966,966,961,961,30
2018-08-30,961,968.9,960,968.9,44
2018-08-31,969,971.8,963.5,963.7,85
2018-09-04,963.7,964.9,955.9,955.9,75
2018-09-05,952.9,953.4,939.5,940.6,94
2018-09-06,944,944.8,933.3,934.2,98
2018-09-07,937,945,930.5,944.9,96
2018-09-10,941.9,944,935.3,937.8,35
2018-09-11,934.1,953.8,934.1,953.8,110
2018-09-12,952.5,958.8,947,948,153
2018-09-13,955.5,957.9,947.1,950.3,134
2018-09-14,954.7,958,953,955.2,42
2018-09-17,953.8,953.8,946.3,947,27
2018-09-18,945,958,944.5,958,107
2018-09-19,963.8,965.6,959.5,962.3,148
2018-09-20,962.5,972.6,962.5,972.6,70
2018-09-21,975.5,979,970.1,978,184
2018-09-24,977,982,977,982,66
2018-09-25,980.7,983,978.1,978.1,38
2018-09-26,977,987,977,981.9,57
2018-09-27,981,985,981,985,28
2018-09-28,987.1,989.2,986.5,986.5,21
2018-10-01,988,990.5,985,985,38
2018-10-02,984.9,987.7,981.5,984.4,58
2018-10-03,985,986,982.4,985.1,29
2018-10-04,987.4,989.2,985.2,989.2,31
2018-10-05,991,991,982.6,982.6,52
2018-10-08,978,979,971.5,972.2,74
2018-10-09,974.5,975.3,971,972.8,20
2018-10-10,972.8,973.6,970.3,970.9,27
2018-10-11,955,958,923.1,924.4,286
2018-10-12,909,945,905,944.9,344
2018-10-15,940,942,923,923,235
2018-10-16,934,938.7,925.2,937.1,138
2018-10-17,944,951,941.3,946.5,111
2018-10-18,939,939.5,930.3,930.3,120
2018-10-19,920,932.5,920,931.2,1083
2018-10-22,934.5,937,920.5,921.5,117
2018-10-23,913.9,915,890.5,903.9,148
2018-10-24,907.6,911,888.3,890.2,1120
2018-10-25,860,887.9,860,887.3,154
2018-10-26,895,895.2,871,871,104
2018-10-29,874.5,899,870,878.2,1063
2018-10-30,877.8,880,874.8,880,53
2018-10-31,885.1,899.9,883.1,899.9,116
2018-11-01,904,904,879.1,882.1,155
2018-11-02,889.6,909.8,889.6,906.1,68
2018-11-05,899.9,903,890.5,899.9,32
2018-11-06,902,909,896,896,213
2018-11-07,897,899,881.6,893.5,170
2018-11-08,905.1,906.7,894.8,895,58
2018-11-09,891.5,893,881,881,32
2018-11-12,877,883,873,881.8,63
2018-11-13,868.3,873.5,860.3,870.5,58
2018-11-14,868.5,872,860,862.1,49
2018-11-15,863.8,868.7,863.8,868,215
2018-11-16,871.9,874.1,868,869,78
2018-11-19,871.2,880.7,871.2,880.7,51
2018-11-20,879,891,877,880.7,237
2018-11-21,877.7,892,876.2,892,90
2018-11-22,893,896.3,890.7,895,27
2018-11-23,892,893,886.8,886.8,27
2018-11-26,886.9,890.5,884,889.1,48
2018-11-27,894.3,894.3,886,886,39
2018-11-28,886,897.8,886,889,42
2018-11-29,900,900,886,886,95
2018-11-30,886,889,860,860,245
2018-12-03,900,915,893.3,915,562
2018-12-04,914.2,917.6,906,913,321
2018-12-05,905,917,905,913.9,167
2018-12-06,913,913.5,903,908.1,89
2018-12-07,913.1,919.5,913.1,913.6,48
2018-12-10,912.4,913.5,908,912.9,38
2018-12-11,914.2,915.3,910,912.5,45
2018-12-12,916,920.1,914.6,919.5,62
2018-12-13,920,923.8,919.7,922.4,52
2018-12-14,920.2,920.2,912.9,912.9,33
2018-12-17,909.9,910.4,891.6,895,80
2018-12-18,889,890,875.8,889,1159
2018-12-19,891.1,892,878.5,880.6,150
2018-12-20,878.6,884,875,877.7,329
2018-12-21,876,880,871.8,880,137
2018-12-24,883,883,875,875,119
2018-12-25,862,868.5,856.5,866,350
2018-12-26,869.1,871.2,863.5,864,195
2018-12-27,879.1,879.1,870,870,118
2018-12-28,870,870,860,860,67
2019-01-02,857.9,858.4,841.7,844.4,119
2019-01-03,847,847,821.7,824.9,96
2019-01-04,819.9,836.4,815.1,833,156
2019-01-07,835.2,845,833,840,108
2019-01-08,840.3,843,835,840,83
2019-01-09,844,850.3,843,847.8,113
2019-01-10,845,848,841.8,841.8,70
2019-01-11,845.3,847.3,842,844,64
2019-01-14,844,844.7,841,843.4,33
2019-01-15,845.5,865,845.5,865,343
2019-01-16,860.9,861.7,853.9,854.9,234
2019-01-17,853.9,853.9,841,841,168
2019-01-18,844,846.5,841.5,841.5,123
